Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Chesterfield District (B),E07000034,1812,2319,2357,1817,2326,2364,1817,2326,2364,3.0%,3.8%,3.9%,3.0%,3.8%,3.9%,3.0%,3.8%,3.9%
Chichester District,E07000225,2370,6868,6868,2572,7527,7527,2588,7774,7774,2.8%,8.2%,8.2%,3.1%,9.0%,9.0%,3.1%,9.3%,9.3%
Chiltern District,E07000005,569,1145,1148,550,1055,1058,1376,1408,1408,1.1%,2.2%,2.2%,1.1%,2.0%,2.0%,2.6%,2.7%,2.7%
Chorley District (B),E07000118,463,1244,1457,463,1245,1458,1242,1692,1574,0.7%,2.0%,2.3%,0.7%,2.0%,2.3%,2.0%,2.7%,2.5%
City and County of the City of London,E09000001,5,5,744,5,5,744,5,5,744,0.0%,0.0%,6.0%,0.0%,0.0%,6.0%,0.0%,0.0%,6.0%
City of Bristol (B),E06000023,3537,15279,15808,3524,14235,14764,3536,14307,14839,1.5%,6.5%,6.8%,1.5%,6.1%,6.3%,1.5%,6.1%,6.3%
City of Derby (B),E06000015,8010,11767,11917,8010,11768,11918,8010,11769,11918,5.8%,8.6%,8.7%,5.8%,8.6%,8.7%,5.8%,8.6%,8.7%
City of Kingston upon Hull (B),E06000010,24174,132856,132857,24174,132856,132857,24163,132856,132857,16.8%,92.3%,92.3%,16.8%,92.3%,92.3%,16.8%,92.3%,92.3%
City of Leicester (B),E06000016,9546,15261,16083,9553,15276,16099,10617,20261,21331,6.2%,9.9%,10.4%,6.2%,9.9%,10.5%,6.9%,13.2%,13.8%
City of Nottingham (B),E06000018,4717,16043,16925,4725,16052,16934,5011,16703,17558,3.0%,10.1%,10.6%,3.0%,10.1%,10.6%,3.1%,10.5%,11.0%
City of Peterborough (B),E06000031,3730,5670,5831,3761,5791,5967,4013,6229,6405,3.7%,5.7%,5.8%,3.8%,5.8%,6.0%,4.0%,6.2%,6.4%
City of Plymouth (B),E06000026,825,2376,2517,825,2376,2517,824,2375,2516,0.6%,1.7%,1.9%,0.6%,1.7%,1.9%,0.6%,1.7%,1.9%
City of Portsmouth (B),E06000044,4814,8729,8729,5383,21623,21623,5391,21623,21623,4.4%,7.9%,7.9%,4.9%,19.6%,19.6%,4.9%,19.6%,19.6%
City of Southampton (B),E06000045,2528,3757,3759,2591,3873,3875,2593,3870,3872,2.1%,3.1%,3.1%,2.2%,3.2%,3.2%,2.2%,3.2%,3.2%
City of Stoke-on-Trent (B),E06000021,3825,5069,5069,3831,5073,5073,3825,5073,5073,2.8%,3.8%,3.8%,2.8%,3.8%,3.8%,2.8%,3.8%,3.8%
City of Westminster London Boro,E09000033,48,48,31428,48,48,31428,48,48,31428,0.0%,0.0%,17.7%,0.0%,0.0%,17.7%,0.0%,0.0%,17.7%
City of Wolverhampton District (B),E08000031,1408,1839,1839,1646,2457,2457,1755,2509,2509,1.1%,1.5%,1.5%,1.3%,2.0%,2.0%,1.4%,2.0%,2.0%
Colchester District (B),E07000071,1055,2346,4679,1097,2592,5088,1112,2610,5107,1.0%,2.3%,4.6%,1.1%,2.6%,5.0%,1.1%,2.6%,5.1%
Copeland District (B),E07000029,1416,3512,3675,1416,3512,3675,1555,3850,4014,3.0%,7.5%,7.8%,3.0%,7.5%,7.8%,3.3%,8.2%,8.5%
Corby District (B),E07000150,266,899,899,266,899,899,266,899,899,0.7%,2.4%,2.4%,0.7%,2.4%,2.4%,0.7%,2.4%,2.4%
Cornwall,E06000052,12901,16168,16559,12908,16182,16585,12907,16193,16601,3.1%,3.9%,4.0%,3.1%,3.9%,4.0%,3.1%,3.9%,4.0%
