FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
114,E09000015,Harrow, ,515359,189736,-0.33599,51.59467,50478100.7578583,33298.9242637063,82993549-46f2-4147-b0d7-bf78b150ddb8
115,E09000016,Havering, ,555032,187514,0.235368,51.5652,112328262.00975,62431.1042311879,78c9e470-b2ec-469a-8c4c-c30004a0be42
116,E09000017,Hillingdon, ,508168,183121,-0.44179,51.53664,115714734.925911,62416.2053368501,f30f5d7e-60cb-4cfb-b751-638508c2b764
117,E09000018,Hounslow, ,512737,174959,-0.37855,51.46239,55942880.8778992,62781.8579773178,d353f235-b4ae-4b7e-b4a8-f30efca5b917
118,E09000019,Islington, ,531160,184645,-0.1099,51.54547,14853166.9880295,20465.2641532972,c41d3f30-ab24-47a2-80be-4eb53c761c80
119,E09000020,Kensington and Chelsea, ,525756,179054,-0.18978,51.49645,12145664.7416611,20726.3331675909,e11e3f7c-75e2-403b-b704-cb76fa266736
120,E09000021,Kingston upon Thames, ,519508,167389,-0.28368,51.39296,37271799.6050415,37036.0125099272,9407ebff-ac0c-4a49-89eb-6cd351e87238
121,E09000022,Lambeth, ,531118,175629,-0.11385,51.46445,26795312.1117706,33295.0543665826,306d773e-4df9-4f58-a4b7-400313f15433
122,E09000023,Lewisham, ,537888,173343,-0.01734,51.4423,35186217.3377762,40222.3450283709,f4da3759-c734-471f-8510-dcac3cd8e829
123,E09000024,Merton, ,526068,169508,-0.18869,51.41059,37622051.4488907,31697.0328833766,bce62ffc-80af-4068-9cc5-225ef98b9f6c
124,E09000025,Newham, ,540713,183346,0.027261,51.5315,36186383.0549011,34340.4940469101,0553e0db-b280-4fc1-b818-d9609dfc6020
125,E09000026,Redbridge, ,543512,189477,0.070085,51.58588,56378604.7625046,49312.8735204018,9d0c0e8b-acb3-4d32-b1d7-e449a1e55a5f
126,E09000027,Richmond upon Thames, ,519005,172650,-0.28914,51.44035,57319680.9280396,67256.4822458303,ec5bf09a-bfd8-4bae-a040-a3084bf26c17
127,E09000028,Southwark, ,533945,175869,-0.07309,51.46595,28849924.1222382,33537.0635412413,afe933bf-7685-4ae4-a45e-eb7afe58d37a
128,E09000029,Sutton, ,527357,163639,-0.17227,51.35755,43846686.503685,39118.0543236228,968f5cc5-d619-4f39-96ef-3a1c670d2fd6
129,E09000030,Tower Hamlets, ,536340,181452,-0.03648,51.51555,19766889.7109222,27418.6170598442,c4410635-c9e5-46d3-963f-8101c685beaa
130,E09000031,Waltham Forest, ,537328,190278,-0.0188,51.59462,38834079.11689,32534.2707510627,1ea22af2-0ef1-42ec-94f4-801cd08d0f51
131,E09000032,Wandsworth, ,525152,174138,-0.20022,51.4524,34262481.0886307,37898.2267625589,78282fbc-a19c-4bc3-9fc6-16e453cd0e18
132,E09000033,Westminster, ,528268,180871,-0.15295,51.51222,21446984.2440033,26967.0409944972,12382e4a-96a2-44a3-b831-c6cfee773aaf
133,E10000003,Cambridgeshire, ,520313,273863,-0.23505,52.34966,3052693419.1216,505055.640758751,55279e75-7980-4d8a-a824-1d7ac020af0a
134,E10000007,Derbyshire, ,426751,353559,-1.60212,53.07861,2550849947.86536,455361.533296187,ee8ffbcf-578c-464d-a448-cb7c211e85ab
135,E10000008,Devon, ,283144,93087,-3.65697,50.72561,6566651828.77632,1033321.06485679,05d091be-929e-4c67-919f-e2afe8e43799
136,E10000011,East Sussex, ,564122,117996,0.334545,50.93805,1712898028.27166,340747.590074486,11a28865-d580-437b-bdbd-cedc08e9e90e
137,E10000012,Essex, ,575269,215409,0.541047,51.80985,3464846703.69093,1541806.62736163,13406d46-a827-4a31-87e7-b6fa9dbdef60
138,E10000013,Gloucestershire, ,389595,213466,-2.15235,51.81973,2652531083.46695,520635.211376678,f4d83581-9d7e-4308-9a17-32dd8b599055
139,E10000014,Hampshire, ,452857,127536,-1.24738,51.04475,3678168001.8935,721931.744927906,671406ed-c888-4f52-a6e5-9dffc3274275
140,E10000015,Hertfordshire, ,518880,213639,-0.27704,51.80876,1643000409.66587,298583.749768104,faee5d7c-4c78-495b-a3aa-5b2e1ae83559
141,E10000016,Kent, ,590249,147268,0.72137,51.19296,3545249738.92593,724519.348030281,1c09db4b-b137-4e72-8d64-07f767c437bb
142,E10000017,Lancashire, ,369784,440758,-2.46092,53.86217,2894682631.67404,947846.676579984,3e872e72-e360-4377-b847-1424f6f1fb94
143,E10000018,Leicestershire, ,442147,310191,-1.37791,52.68779,2083802291.93387,366122.072873906,fb4e68b8-e60a-459f-8e3c-5be11d245134
144,E10000019,Lincolnshire, ,517984,358539,-0.23884,53.11102,5935970607.96019,1224636.63240264,2eca5b77-992b-4850-b847-42acd95887fc
145,E10000020,Norfolk, ,600549,312292,0.964714,52.67124,5384129306.57684,1368722.43007843,2d54558a-7190-4277-ae7d-9d8249263606
146,E10000024,Nottinghamshire, ,466570,359496,-1.00656,53.1285,2084779208.9882,377748.808446203,281d3165-e572-4c1e-a65b-7eb51f95e207
147,E10000025,Oxfordshire, ,448985,208339,-1.29147,51.77159,2605845753.91453,402344.81783261,58ba9c83-dc52-40df-9ca4-c97d7cd513db
148,E10000028,Staffordshire, ,398242,334649,-2.02758,52.90928,2623205171.59535,489428.280442192,9bd7df54-a50a-4242-b18a-b19acd925ab3
149,E10000029,Suffolk, ,608221,266122,1.049221,52.25387,3801248194.96783,812088.014259724,e7f601a6-e6e5-4878-b868-41bdea110ae8
150,E10000030,Surrey, ,515966,153408,-0.33911,51.26803,1670172155.6745,267338.442219546,b47ceabf-5b56-4db1-8277-8a2048cbf042
151,E10000031,Warwickshire, ,429584,253588,-1.56875,52.17977,1977591915.73161,387177.666880139,bd149de5-ef6b-4b94-8edb-31ac75b8e847
152,E10000032,West Sussex, ,508315,118008,-0.45935,50.95133,1990927394.30706,512749.669360127,1cea9bf6-ff5f-4895-b44b-ab9eecdebb19
153,E10000034,Worcestershire, ,385792,257204,-2.20936,52.21288,1740581594.11873,362154.89131237,57fbf3e7-d9aa-4201-b80f-c51f597b90ca
154,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.69386,728207668.398575,161709.748475148,b3c8cca3-28e8-4ec1-92fb-b7fb00196ec3
155,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.38671,1437080683.40336,237853.638162996,c2f5d2a2-8685-48d6-b1cc-c7dca527ed3c
156,N09000003,Belfast, ,146465,529747,-5.92535,54.59853,137700104.687813,64577.4434993471,5383ad43-df8b-47db-8c9b-e0226f91d288
