FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
197,W06000001,Isle of Anglesey,Ynys Môn,245217,378331,-4.32298,53.27931,715135830.9161,338435.157552941,a8eb4955-92b1-4b1a-9c6e-b1c3f433de96
198,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77716,52.89884,2548672445.08634,602232.82782258,86467ad4-e395-428a-8431-f9d0a6e5fb34
199,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.1474,1130295413.92069,275728.513979561,f5b4205a-76dc-4ed8-8e3c-8f43a2105fea
200,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08833,838723875.085434,224445.457730223,6bf86e10-c8aa-4f16-92ce-5586e432e04c
201,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.18248,53.21472,439758207.34491,229878.261755492,f14b8035-98ae-4082-9ad9-84b1e924d613
202,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.00167,503686206.226234,184224.294824895,7d870276-e96c-4da9-b8bf-4913e1c623f4
203,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.29795,1788287166.25208,362022.83993325,9a44e48f-e4fd-4e10-94bd-fe5051d02fa9
204,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.90818,51.85514,1618010098.76192,666583.598507131,9676220d-d807-4029-92c1-bd6a5fb07ed9
205,W06000010,Carmarthenshire,Sir Gaerfyrddin,247955,224133,-4.21109,51.89496,2371021148.16679,561193.658983102,5289b12c-68a0-4203-a639-6914b3c8ec34
206,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.65807,377549638.07077,253619.184361966,a93dfafa-3d42-47d3-aede-fbd410106547
207,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.64451,442243739.526867,176819.584885872,60fdc9e9-9f06-4247-b781-5518d8f8fe27
208,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61376,51.5606,250834484.838947,87991.347500972,2b8fb6ea-3e47-4870-b348-47cb5f9afc80
209,W06000014,Vale of Glamorgan,Bro Morgannwg,302947,173080,-3.39802,51.44836,331278240.583885,104653.46691091,be0d5e2d-93b4-48e8-b077-e5ab86241123
210,W06000015,Cardiff,Caerdydd,315272,178887,-3.22209,51.50254,142359806.495419,76718.809600611,47269c99-d15f-46e9-bd5a-bec500e37fd7
211,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.4136,51.62186,424139877.570686,127101.985279226,c7be65c3-7c4a-4c58-88ef-2b0ffd901b4b
212,W06000018,Caerphilly,Caerffili,317245,195259,-3.19754,51.65001,277356838.726212,113808.336057162,5455e826-a051-4d50-a1d2-09465b4300cb
213,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75364,108725214.78302,64667.0803444398,2117611d-f59d-4205-ad29-9e3b1dbede51
214,W06000020,Torfaen,Torfaen,327459,200480,-3.05102,51.69836,126229821.890579,79015.7811609311,43b12057-3b9d-4ced-908f-69350457b5ed
215,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90281,51.77828,850327887.66251,218857.091859959,86120e65-93d5-472b-ac07-2234a51866ec
216,W06000022,Newport,Casnewydd,337897,187432,-2.89769,51.58231,190436715.75312,148341.372843349,4d78761b-6b9f-4dd6-b5a3-4993b6f424de
217,W06000023,Powys,Powys,302329,273254,-3.43532,52.34864,5195384079.50846,590281.670610167,144226b3-5541-4407-bd18-27a13860af5e
218,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206404,-3.36425,51.74841,111925090.776802,65349.5056024752,85834b82-63a9-4cb5-a4f3-99c77a6a7a2c
