FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
289,"Heathlands West, Wakefield",142,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,60347.9255218506,1386.31597588446
290,Heath Lane,141,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28637.6332702637,808.755278156838
291,"Hitchin Road, Shefford",143,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,112116.217010498,2209.20502076131
292,Keston Nurseries,144,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,59596.741317749,1307.22174824353
293,Old Norwich Road,146,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,97325.7920074463,1457.50166893089
294,"Southend Lane (Phase 4), Newent",164,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,65237.0244445801,1025.94128345839
295,"St Neots Road, Hardwick",147,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,70638.4375762939,1654.42815612784
296,"Tunstall Farm, Hartlepool",168,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,97042.138458252,1703.80805004472
297,West Road,148,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,56129.0017623901,1189.66990000835
298,"Wynyard Park, Billingham",171,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,33292.5096282959,773.25818535008
299,"Lodge Farm, Witham",12,Northumbrian Water Limited,NES,regional water and sewerage company,inset, ,80978.4449996948,1193.8445448997
300,"Blakeston Lane, Stockton-On-Tees",137,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,24749.2825927734,768.563188394933
301,"Church Street, Langford",134,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,51996.3377075195,1217.08991656271
302,Kingsgate East,136,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,225792.239013672,2205.0127743645
303,Sportsmans Farm,135,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,42387.9117965698,1075.94968532362
304,"Whittle Gardens, Innsworth",56,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,648908.985832214,4659.85857905977
305,Harland Way,133,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,43999.9471130371,978.354810468145
306,"Marsh Road, Burnham-on-Crouch",132,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,51663.9107894897,1012.64627328586
307,Archers Court Road (South),125,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,110171.577545166,1640.80534526496
308,Cookridge Phase 2,130,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,25427.6017608643,917.203933776516
309,Green Lane East,131,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,78438.7874450684,1186.09970566168
310,H26 Grosvenor Road,123,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,33505.7194519043,768.272870242978
311,Naisberry Farm,129,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,111994.478118896,1476.65696282859
312,Portholme Road,124,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28324.275100708,1026.68892402859
313,"The Spires, Chichester",128,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,92135.8420829773,2321.65645757839
314,"Thorney Green, Stowupland",126,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,102493.408187866,1456.56417009223
315,"Watery Lane, Fleet",127,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,321534.507469177,5170.7519324829
316,No.1 Old Trafford,174,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,5115.23281860352,305.428077249455
317,"Chester Road, Pennywell, Sunderland",121,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,45989.0627746582,1037.54881193611
318,"Chilton Woods, Sudbury, Suffolk",120,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,776075.273712158,5203.28225400418
319,"Manor Road, Norwich, Norfolk",122,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,17941.7225494385,650.218091648141
320,"Rowtree Park, Collingtree, Northampton",119,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,234719.40537262,2338.05292787196
321,"Chatham Waters, Gillingham",207,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,88554.2890625,1473.12612571426
322,"Fairfield Park & Lower Wilbury Farm, Arlesey, Bedfordshire",37,Affinity Water,AFW,regional water only company,inset, ,1178308.00140381,5699.70652678232
323,"Five Oaks Lane, Chigwell",39,Albion Water Ltd,ALB,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,219572.297058105,3617.25930046342
324,"Rissington, Gloucestershire",40,Albion Water Ltd,ALB,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,683840.071624756,4619.6240842242
325,"Buxted Chicken Farm, Flixton, Surrey",41,Anglian Water,ANH,regional water and sewerage company,inset, ,50748.5171813965,1055.8207642322
326,Northstowe Phase One,42,Anglian Water,ANH,regional water and sewerage company,inset, ,969261.971237183,5434.59371609551
327,"Woods Meadow, Oulton",43,Anglian Water,ANH,regional water and sewerage company,inset, ,551698.852554321,4712.25783245018
328,Rochester Riverside,51,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,250710.78969574,4173.54374015181
329,Barnhorn Green,44,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,257374.00390625,2718.71002866821
330,Broadland Gate,45,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,308864.384933472,3657.91283556615
331,Conningbrook,46,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,489478.274856567,5135.71236666255
332,"Forstal Lane, Coxheath",47,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,79120.3446731567,1148.59728006533
333,"Marden Road, Staplehurst",48,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,121761.233520508,2437.00205505225
334,"Norwich Road, Thetford",49,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,144040.832672119,1709.65683514786
335,Ospringe Parcel B,50,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,32694.3087921143,753.458367765133
336,"Ulcombe Road, Headcorn",52,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,84975.6422195435,1727.48948737495
