Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Bootle Boro Const,E14000581,87,94,94,8,15,15,8,15,15,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Boston and Skegness Co Const,E14000582,17839,62594,62606,17840,62597,62609,17840,62599,62609,25.6%,89.7%,89.7%,25.6%,89.7%,89.7%,25.6%,89.7%,89.7%
Bosworth Co Const,E14000583,294,339,339,294,339,339,294,339,339,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%
Bournemouth East Boro Const,E14000584,240,351,355,240,351,355,240,351,355,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%
Bournemouth West Boro Const,E14000585,89,132,132,89,132,132,91,132,132,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
Bracknell Co Const,E14000586,990,1270,1270,990,1270,1270,988,1269,1269,1.9%,2.5%,2.5%,1.9%,2.5%,2.5%,1.9%,2.4%,2.4%
Bradford East Boro Const,E14000587,217,425,425,217,425,425,217,425,425,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%
Bradford South Boro Const,E14000588,69,69,69,69,69,69,69,69,69,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
Bradford West Boro Const,E14000589,1037,1860,1940,1037,1860,1940,1037,1860,1940,1.9%,3.3%,3.5%,1.9%,3.3%,3.5%,1.9%,3.3%,3.5%
Braintree Co Const,E14000590,1031,1719,1865,1133,1832,1978,1133,1833,1978,1.7%,2.8%,3.0%,1.8%,2.9%,3.2%,1.8%,2.9%,3.2%
Brent Central Boro Const,E14000591,2480,3331,3344,2480,3331,3344,2466,3331,3344,4.0%,5.4%,5.4%,4.0%,5.4%,5.4%,4.0%,5.4%,5.4%
Brent North Boro Const,E14000592,836,1135,1135,836,1135,1135,829,1135,1135,1.6%,2.2%,2.2%,1.6%,2.2%,2.2%,1.6%,2.2%,2.2%
Brentford and Isleworth Boro Const,E14000593,538,1966,20663,538,1966,20663,538,1966,20663,0.8%,2.8%,29.1%,0.8%,2.8%,29.1%,0.8%,2.8%,29.1%
Brentwood and Ongar Co Const,E14000594,1183,1640,1640,1092,1532,1532,1110,1578,1599,2.0%,2.8%,2.8%,1.8%,2.6%,2.6%,1.9%,2.7%,2.7%
Bridgwater and West Somerset Co Const,E14000595,4980,26215,27914,4946,26179,27893,6380,27713,28222,5.9%,31.1%,33.1%,5.9%,31.1%,33.1%,7.6%,32.9%,33.5%
Brigg and Goole Co Const,E14000596,15336,25931,26597,15341,25931,26597,16781,27474,27789,27.2%,45.9%,47.1%,27.2%,45.9%,47.1%,29.7%,48.6%,49.2%
"Brighton, Kemptown Boro Const",E14000597,1246,1265,1265,1246,1265,1265,1246,1265,1265,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%,2.5%
"Brighton, Pavilion Boro Const",E14000598,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bristol East Boro Const,E14000599,699,1037,1037,723,1040,1040,723,1040,1040,1.4%,2.0%,2.0%,1.4%,2.0%,2.0%,1.4%,2.0%,2.0%
Bristol North West Boro Const,E14000600,307,3200,3729,307,3182,3711,315,3254,3786,0.6%,6.1%,7.2%,0.6%,6.1%,7.1%,0.6%,6.2%,7.3%
Bristol South Boro Const,E14000601,1066,3643,3643,989,2622,2622,992,2622,2622,1.9%,6.5%,6.5%,1.8%,4.6%,4.6%,1.8%,4.6%,4.6%
Bristol West Boro Const,E14000602,1465,7399,7399,1505,7391,7391,1506,7391,7391,2.0%,9.9%,9.9%,2.0%,9.9%,9.9%,2.0%,9.9%,9.9%
Broadland Co Const,E14000603,1252,1909,1914,1260,2058,2064,1314,2207,2276,1.9%,2.8%,2.8%,1.9%,3.1%,3.1%,2.0%,3.3%,3.4%
Bromley and Chislehurst Boro Const,E14000604,1031,1595,1595,1035,1618,1618,1042,1618,1618,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%
Bromsgrove Co Const,E14000605,1184,1235,1235,1185,1237,1237,1183,1237,1237,2.1%,2.2%,2.2%,2.1%,2.2%,2.2%,2.1%,2.2%,2.2%
Broxbourne Boro Const,E14000606,1320,5437,6326,1320,5437,6326,1357,5437,6326,2.7%,11.1%,12.9%,2.7%,11.1%,12.9%,2.8%,11.1%,12.9%
Broxtowe Co Const,E14000607,1199,8471,8946,1199,8471,8946,1197,8468,8946,2.4%,17.0%,18.0%,2.4%,17.0%,18.0%,2.4%,17.0%,18.0%
Buckingham Co Const,E14000608,932,1118,1118,977,1184,1184,977,1184,1184,1.3%,1.6%,1.6%,1.4%,1.7%,1.7%,1.4%,1.7%,1.7%
Burnley Boro Const,E14000609,448,1839,1839,454,1908,1908,801,1929,1908,0.9%,3.8%,3.8%,0.9%,4.0%,4.0%,1.7%,4.0%,4.0%
Burton Co Const,E14000610,1539,14896,14965,1540,14896,14965,1553,15219,15288,2.6%,25.2%,25.3%,2.6%,25.2%,25.3%,2.6%,25.8%,25.9%
Bury North Boro Const,E14000611,850,1324,1382,840,1326,1734,884,1340,1734,1.8%,2.8%,2.9%,1.8%,2.8%,3.6%,1.8%,2.8%,3.6%
Bury South Boro Const,E14000612,718,1139,1204,617,909,1902,620,914,1902,1.4%,2.3%,2.4%,1.2%,1.8%,3.8%,1.2%,1.8%,3.8%
Bury St. Edmunds Co Const,E14000613,1085,1457,1462,1290,2130,2135,1356,2218,2223,1.5%,2.0%,2.0%,1.8%,3.0%,3.0%,1.9%,3.1%,3.1%
Calder Valley Co Const,E14000614,6710,7713,7718,6713,7715,7720,6717,7823,7828,10.4%,12.0%,12.0%,10.4%,12.0%,12.0%,10.4%,12.2%,12.2%
Camberwell and Peckham Boro Const,E14000615,0,0,22291,0,0,22291,0,0,22291,0.0%,0.0%,36.6%,0.0%,0.0%,36.6%,0.0%,0.0%,36.6%
Camborne and Redruth Co Const,E14000616,1582,1813,1839,1582,1813,1839,1581,1811,1839,2.7%,3.1%,3.1%,2.7%,3.1%,3.1%,2.7%,3.1%,3.1%
Cambridge Boro Const,E14000617,1426,1813,1827,1438,1822,1836,1438,1822,1836,2.3%,3.0%,3.0%,2.3%,3.0%,3.0%,2.3%,3.0%,3.0%
Cannock Chase Co Const,E14000618,492,520,520,579,607,607,579,607,607,1.0%,1.0%,1.0%,1.1%,1.2%,1.2%,1.1%,1.2%,1.2%
Canterbury Co Const,E14000619,4304,7940,8560,4398,8181,8802,4395,8182,8802,6.8%,12.5%,13.5%,6.9%,12.9%,13.9%,6.9%,12.9%,13.9%
Carlisle Boro Const,E14000620,740,6425,6439,740,6425,6439,781,6692,6706,1.4%,12.4%,12.4%,1.4%,12.4%,12.4%,1.5%,12.9%,12.9%
Carshalton and Wallington Boro Const,E14000621,1303,2282,2282,1298,2270,2270,1300,2270,2270,2.9%,5.1%,5.1%,2.9%,5.0%,5.0%,2.9%,5.0%,5.0%
Castle Point Boro Const,E14000622,63,166,20450,132,563,20901,133,563,20901,0.1%,0.4%,43.8%,0.3%,1.2%,44.7%,0.3%,1.2%,44.7%
Central Devon Co Const,E14000623,4533,5266,5402,4408,5109,5220,4739,5448,5558,5.5%,6.4%,6.6%,5.4%,6.2%,6.4%,5.8%,6.6%,6.8%
Central Suffolk and North Ipswich Co Const,E14000624,872,1193,1193,893,1214,1214,941,1264,1264,1.2%,1.7%,1.7%,1.2%,1.7%,1.7%,1.3%,1.8%,1.8%
Charnwood Co Const,E14000625,1101,2489,2489,1101,2490,2490,1111,2560,2560,2.1%,4.8%,4.8%,2.1%,4.8%,4.8%,2.1%,4.9%,4.9%
Chatham and Aylesford Co Const,E14000626,1179,2211,3077,1214,2381,3258,2043,3211,3245,2.6%,4.8%,6.7%,2.6%,5.2%,7.1%,4.4%,7.0%,7.0%
Cheadle Boro Const,E14000627,1027,1445,1445,1026,1444,1444,1030,1444,1444,2.3%,3.2%,3.2%,2.3%,3.2%,3.2%,2.3%,3.2%,3.2%
Chelmsford Boro Const,E14000628,1718,2706,2818,1718,2706,2818,1725,2710,2818,3.2%,5.0%,5.2%,3.2%,5.0%,5.2%,3.2%,5.0%,5.2%
Chelsea and Fulham Boro Const,E14000629,17,17,39026,17,17,39026,17,17,39026,0.0%,0.0%,59.1%,0.0%,0.0%,59.1%,0.0%,0.0%,59.1%
Cheltenham Boro Const,E14000630,1751,2199,2199,1754,2209,2209,1757,2262,2266,2.9%,3.6%,3.6%,2.9%,3.7%,3.7%,2.9%,3.7%,3.8%
Chesham and Amersham Co Const,E14000631,569,1145,1148,550,1055,1058,1376,1408,1408,1.1%,2.2%,2.2%,1.1%,2.0%,2.0%,2.6%,2.7%,2.7%
Chesterfield Boro Const,E14000632,1758,2171,2209,1764,2178,2216,1764,2178,2216,3.2%,4.0%,4.1%,3.2%,4.0%,4.1%,3.2%,4.0%,4.1%
Chichester Co Const,E14000633,2261,6747,6747,2463,7406,7406,2479,7653,7653,3.0%,9.0%,9.0%,3.3%,9.9%,9.9%,3.3%,10.2%,10.2%
Chingford and Woodford Green Boro Const,E14000634,819,1457,1458,819,1457,1458,818,1457,1458,1.9%,3.4%,3.4%,1.9%,3.4%,3.4%,1.9%,3.4%,3.4%
Chippenham Co Const,E14000635,1554,1931,1931,1554,1931,1931,1556,1933,1933,2.8%,3.4%,3.4%,2.8%,3.4%,3.4%,2.8%,3.4%,3.4%
Chipping Barnet Boro Const,E14000636,202,380,380,202,380,380,202,380,380,0.4%,0.7%,0.7%,0.4%,0.7%,0.7%,0.4%,0.7%,0.7%
Chorley Co Const,E14000637,347,475,475,347,475,475,360,491,491,0.6%,0.9%,0.9%,0.6%,0.9%,0.9%,0.6%,0.9%,0.9%
Christchurch Co Const,E14000638,1112,3507,3524,1112,3507,3524,1112,3507,3524,2.2%,7.0%,7.0%,2.2%,7.0%,7.0%,2.2%,7.0%,7.0%
Cities of London and Westminster Boro Const,E14000639,53,53,32172,53,53,32172,53,53,32172,0.0%,0.0%,26.2%,0.0%,0.0%,26.2%,0.0%,0.0%,26.2%
City of Chester Co Const,E14000640,259,1195,1542,259,1195,1542,256,1195,1542,0.5%,2.1%,2.8%,0.5%,2.1%,2.8%,0.5%,2.1%,2.8%
City of Durham Co Const,E14000641,621,678,678,638,678,678,637,678,678,1.2%,1.3%,1.3%,1.2%,1.3%,1.3%,1.2%,1.3%,1.3%
Clacton Co Const,E14000642,287,4579,4697,297,4873,5068,296,4874,5068,0.5%,8.2%,8.4%,0.5%,8.7%,9.1%,0.5%,8.8%,9.1%
Cleethorpes Co Const,E14000643,7965,13197,17794,8001,13233,17830,8004,13245,17831,14.0%,23.2%,31.3%,14.1%,23.3%,31.3%,14.1%,23.3%,31.3%
Colchester Boro Const,E14000644,448,1418,3186,449,1572,3440,448,1572,3440,0.7%,2.4%,5.3%,0.7%,2.6%,5.7%,0.7%,2.6%,5.7%
Colne Valley Co Const,E14000645,1284,1869,1869,1284,1869,1869,1283,1869,1869,2.1%,3.1%,3.1%,2.1%,3.1%,3.1%,2.1%,3.1%,3.1%
Congleton Co Const,E14000646,743,962,994,949,1018,1050,1175,1342,1401,1.3%,1.7%,1.8%,1.7%,1.8%,1.9%,2.1%,2.4%,2.5%
Copeland Co Const,E14000647,2596,4803,4970,2596,4803,4970,2733,5146,5315,4.6%,8.4%,8.7%,4.6%,8.4%,8.7%,4.8%,9.0%,9.3%
Corby Co Const,E14000648,1200,2123,2123,1200,2123,2123,1226,2151,2151,1.7%,3.0%,3.0%,1.7%,3.0%,3.0%,1.8%,3.1%,3.1%
Coventry North East Boro Const,E14000649,254,308,308,254,308,308,254,308,308,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%
Coventry North West Boro Const,E14000650,1000,1318,1318,1000,1318,1318,998,1318,1318,2.0%,2.6%,2.6%,2.0%,2.6%,2.6%,2.0%,2.6%,2.6%
Coventry South Boro Const,E14000651,611,738,738,611,738,738,611,738,738,1.0%,1.2%,1.2%,1.0%,1.2%,1.2%,1.0%,1.2%,1.2%
Crawley Boro Const,E14000652,2933,4527,4527,2933,4527,4527,2930,4527,4527,5.1%,7.9%,7.9%,5.1%,7.9%,7.9%,5.1%,7.9%,7.9%
Crewe and Nantwich Co Const,E14000653,639,1620,1620,650,1631,1631,650,1631,1631,1.1%,2.7%,2.7%,1.1%,2.7%,2.7%,1.1%,2.7%,2.7%
Croydon Central Boro Const,E14000654,919,962,962,919,962,962,919,962,962,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%,1.7%
Croydon North Boro Const,E14000655,1418,1651,1651,1418,1626,1626,1417,1626,1626,2.3%,2.6%,2.6%,2.3%,2.6%,2.6%,2.3%,2.6%,2.6%
Croydon South Boro Const,E14000656,2693,2694,2694,2693,2694,2694,2693,2694,2694,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%
Dagenham and Rainham Boro Const,E14000657,65,830,4436,74,846,4455,74,846,4455,0.1%,1.7%,8.9%,0.1%,1.7%,9.0%,0.1%,1.7%,9.0%
Darlington Boro Const,E14000658,747,1103,1103,747,1103,1103,748,1103,1103,1.5%,2.2%,2.2%,1.5%,2.2%,2.2%,1.5%,2.2%,2.2%
Dartford Co Const,E14000659,1023,2046,4527,1101,2235,4943,1101,2228,4943,1.9%,3.8%,8.3%,2.0%,4.1%,9.1%,2.0%,4.1%,9.1%
Daventry Co Const,E14000660,714,998,1101,731,1015,1118,781,1073,1244,1.1%,1.6%,1.7%,1.2%,1.6%,1.8%,1.2%,1.7%,2.0%
Denton and Reddish Boro Const,E14000661,37,82,82,37,82,82,36,81,81,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%
Derby North Boro Const,E14000662,5658,7221,7265,5658,7221,7265,5658,7221,7265,10.0%,12.8%,12.8%,10.0%,12.8%,12.8%,10.0%,12.8%,12.8%
Derby South Boro Const,E14000663,1786,3868,3974,1786,3869,3975,1786,3870,3975,3.0%,6.5%,6.7%,3.0%,6.5%,6.7%,3.0%,6.5%,6.7%
Derbyshire Dales Co Const,E14000664,3080,4375,4449,3080,4375,4449,3080,4375,4449,4.7%,6.7%,6.8%,4.7%,6.7%,6.8%,4.7%,6.7%,6.8%
Devizes Co Const,E14000665,1033,1266,1266,1034,1266,1266,1043,1290,1290,1.6%,2.0%,2.0%,1.7%,2.0%,2.0%,1.7%,2.1%,2.1%
Dewsbury Co Const,E14000666,1385,3945,3945,1387,3947,3947,1386,3947,3947,2.4%,6.9%,6.9%,2.4%,6.9%,6.9%,2.4%,6.9%,6.9%
Don Valley Co Const,E14000667,9815,10441,10441,9815,10441,10441,9815,10441,10441,17.8%,18.9%,18.9%,17.8%,18.9%,18.9%,17.8%,18.9%,18.9%
Doncaster Central Boro Const,E14000668,1643,2507,5206,1667,2532,5231,1666,2532,5231,2.9%,4.4%,9.1%,2.9%,4.4%,9.1%,2.9%,4.4%,9.1%
Doncaster North Co Const,E14000669,9571,14237,16523,9571,14236,16523,9670,14428,16712,17.7%,26.3%,30.5%,17.7%,26.3%,30.5%,17.9%,26.6%,30.9%
Dover Co Const,E14000670,670,3887,3887,954,7314,7314,953,7312,7312,1.2%,7.0%,7.0%,1.7%,13.1%,13.1%,1.7%,13.1%,13.1%
Dudley North Boro Const,E14000671,76,76,76,308,309,309,308,309,309,0.2%,0.2%,0.2%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%
Dudley South Boro Const,E14000672,322,697,697,322,697,697,324,697,697,0.7%,1.6%,1.6%,0.7%,1.6%,1.6%,0.7%,1.6%,1.6%
Dulwich and West Norwood Boro Const,E14000673,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Ealing Central and Acton Boro Const,E14000674,281,317,1957,281,317,1957,278,317,1957,0.4%,0.5%,3.0%,0.4%,0.5%,3.0%,0.4%,0.5%,3.0%
Ealing North Boro Const,E14000675,996,1666,1667,996,1666,1667,1024,1666,1667,1.9%,3.2%,3.2%,1.9%,3.2%,3.2%,2.0%,3.2%,3.2%
"Ealing, Southall Boro Const",E14000676,203,243,243,203,243,243,203,243,243,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%
Easington Co Const,E14000677,104,105,105,104,105,105,104,105,105,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
East Devon Co Const,E14000678,5840,7308,7364,5846,7318,7374,5886,7358,7414,8.9%,11.2%,11.3%,8.9%,11.2%,11.3%,9.0%,11.2%,11.3%
East Ham Boro Const,E14000679,24,7282,19575,23,8588,18592,23,8586,18586,0.0%,13.1%,35.2%,0.0%,15.5%,33.5%,0.0%,15.5%,33.5%
East Hampshire Co Const,E14000680,1201,1475,1475,1229,1503,1503,1265,1539,1539,1.9%,2.4%,2.4%,2.0%,2.4%,2.4%,2.0%,2.5%,2.5%
East Surrey Co Const,E14000681,1825,3547,3547,1825,3547,3547,1824,3547,3547,3.0%,5.8%,5.8%,3.0%,5.8%,5.8%,3.0%,5.8%,5.8%
East Worthing and Shoreham Co Const,E14000682,276,5158,5158,743,5158,5158,741,5157,5157,0.6%,10.4%,10.4%,1.5%,10.4%,10.4%,1.5%,10.4%,10.4%
East Yorkshire Co Const,E14000683,1751,2517,2733,1751,2517,2733,1751,2517,2733,2.1%,3.1%,3.3%,2.1%,3.1%,3.3%,2.1%,3.1%,3.3%
Eastbourne Boro Const,E14000684,1594,14069,14069,1594,14069,14069,1594,14069,14069,2.7%,23.5%,23.5%,2.7%,23.5%,23.5%,2.7%,23.5%,23.5%
Eastleigh Boro Const,E14000685,1187,1322,1336,1564,1707,1721,1564,1707,1721,2.2%,2.4%,2.5%,2.9%,3.1%,3.2%,2.9%,3.1%,3.2%
Eddisbury Co Const,E14000686,597,638,638,588,629,629,670,725,725,1.0%,1.0%,1.0%,0.9%,1.0%,1.0%,1.1%,1.2%,1.2%
Edmonton Boro Const,E14000687,3539,9126,9151,3539,9126,9151,3545,9128,9153,7.2%,18.6%,18.7%,7.2%,18.6%,18.7%,7.2%,18.6%,18.7%
Ellesmere Port and Neston Co Const,E14000688,192,1089,1297,815,1130,1133,825,1142,1145,0.4%,2.2%,2.6%,1.6%,2.3%,2.3%,1.7%,2.3%,2.3%
Elmet and Rothwell Co Const,E14000689,908,2133,2239,923,2152,2258,939,2230,2336,1.6%,3.8%,4.0%,1.6%,3.8%,4.0%,1.7%,4.0%,4.2%
Eltham Boro Const,E14000690,255,848,983,255,848,983,255,849,983,0.6%,2.0%,2.3%,0.6%,2.0%,2.3%,0.6%,2.0%,2.3%
Enfield North Boro Const,E14000691,358,2544,3538,358,2544,3538,359,2545,3538,0.7%,5.2%,7.3%,0.7%,5.2%,7.3%,0.7%,5.2%,7.3%
"Enfield, Southgate Boro Const",E14000692,392,1349,1349,391,1290,1290,390,1290,1290,0.9%,3.0%,3.0%,0.9%,2.8%,2.8%,0.9%,2.8%,2.8%
Epping Forest Co Const,E14000693,949,2462,2831,954,2475,2844,966,2540,2902,1.7%,4.5%,5.2%,1.7%,4.5%,5.2%,1.8%,4.6%,5.3%
Epsom and Ewell Boro Const,E14000694,1039,1239,1239,1041,1241,1241,1039,1241,1241,2.1%,2.5%,2.5%,2.1%,2.5%,2.5%,2.1%,2.5%,2.5%
Erewash Co Const,E14000695,1095,14474,17065,1095,14474,17065,1102,14471,17065,2.1%,28.3%,33.4%,2.1%,28.3%,33.4%,2.2%,28.3%,33.4%
Erith and Thamesmead Boro Const,E14000696,121,135,22920,121,135,22920,121,135,22920,0.2%,0.3%,46.9%,0.2%,0.3%,46.9%,0.2%,0.3%,46.9%
Esher and Walton Boro Const,E14000697,4124,13055,13060,4220,13622,13627,4248,14066,14071,7.2%,22.9%,22.9%,7.4%,23.9%,23.9%,7.5%,24.7%,24.7%
Exeter Boro Const,E14000698,7596,9423,9423,7597,9423,9423,7563,9384,9384,13.0%,16.2%,16.2%,13.0%,16.2%,16.2%,13.0%,16.1%,16.1%
Fareham Co Const,E14000699,422,1196,1196,445,1491,1491,444,1491,1491,0.8%,2.3%,2.3%,0.8%,2.8%,2.8%,0.8%,2.8%,2.8%
Faversham and Mid Kent Co Const,E14000700,1606,2046,2119,1622,2129,2203,1667,2176,2203,2.9%,3.6%,3.8%,2.9%,3.8%,3.9%,3.0%,3.9%,3.9%
Feltham and Heston Boro Const,E14000701,71,246,246,71,246,246,71,246,246,0.1%,0.4%,0.4%,0.1%,0.4%,0.4%,0.1%,0.4%,0.4%
Filton and Bradley Stoke Co Const,E14000702,293,2740,3152,287,2733,3145,288,2742,3154,0.6%,5.3%,6.1%,0.6%,5.3%,6.1%,0.6%,5.3%,6.1%
Finchley and Golders Green Boro Const,E14000703,316,338,338,316,338,338,316,338,338,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%
Folkestone and Hythe Co Const,E14000704,4284,5552,13938,4296,5596,13982,4292,5592,13982,6.1%,7.9%,19.8%,6.1%,8.0%,19.9%,6.1%,8.0%,19.9%
Forest of Dean Co Const,E14000705,2160,3188,3188,2160,3191,3191,2158,3201,3201,3.3%,4.8%,4.8%,3.3%,4.8%,4.8%,3.3%,4.9%,4.9%
Fylde Co Const,E14000706,346,2337,3065,397,2469,3204,402,2620,3358,0.6%,4.2%,5.5%,0.7%,4.4%,5.7%,0.7%,4.7%,6.0%
Gainsborough Co Const,E14000707,3667,9157,10838,3737,9566,11248,3743,9577,11267,5.4%,13.6%,16.1%,5.5%,14.2%,16.7%,5.6%,14.2%,16.7%
Garston and Halewood Boro Const,E14000708,240,588,614,236,577,583,236,577,583,0.5%,1.2%,1.2%,0.5%,1.1%,1.2%,0.5%,1.1%,1.2%
Gateshead Boro Const,E14000709,70,286,286,70,252,252,77,424,424,0.1%,0.5%,0.5%,0.1%,0.5%,0.5%,0.1%,0.8%,0.8%
Gedling Co Const,E14000710,3210,5465,5659,3217,5514,5708,3237,5526,5725,6.7%,11.5%,11.9%,6.8%,11.6%,12.0%,6.8%,11.6%,12.0%
Gillingham and Rainham Boro Const,E14000711,304,668,1189,308,690,1211,818,1202,1211,0.7%,1.4%,2.6%,0.7%,1.5%,2.6%,1.8%,2.6%,2.6%
Gloucester Boro Const,E14000712,4876,6989,6989,4877,6993,6993,4882,7017,7017,8.0%,11.4%,11.4%,8.0%,11.4%,11.4%,8.0%,11.5%,11.5%
Gosport Boro Const,E14000713,538,1121,1121,661,2268,2268,663,2268,2268,1.0%,2.2%,2.2%,1.3%,4.4%,4.4%,1.3%,4.4%,4.4%
Grantham and Stamford Co Const,E14000714,1434,3201,3308,1475,3242,3349,1767,3707,3857,2.1%,4.7%,4.9%,2.2%,4.8%,5.0%,2.6%,5.5%,5.7%
Gravesham Co Const,E14000715,26,1751,2645,47,1773,2675,47,1773,2675,0.1%,3.5%,5.2%,0.1%,3.5%,5.3%,0.1%,3.5%,5.3%
Great Grimsby Boro Const,E14000716,933,6700,26969,933,6700,26969,935,6687,26969,1.9%,13.9%,55.8%,1.9%,13.9%,55.8%,1.9%,13.8%,55.8%
Great Yarmouth Co Const,E14000717,1072,2960,11239,1148,3335,12415,1146,3337,12415,1.8%,4.9%,18.5%,1.9%,5.5%,20.4%,1.9%,5.5%,20.4%
Greenwich and Woolwich Boro Const,E14000718,240,242,18648,240,242,18648,240,242,18648,0.4%,0.4%,29.8%,0.4%,0.4%,29.8%,0.4%,0.4%,29.8%
Guildford Co Const,E14000719,2126,2558,2558,2215,2647,2647,2212,2647,2647,3.4%,4.1%,4.1%,3.6%,4.3%,4.3%,3.6%,4.3%,4.3%
Hackney North and Stoke Newington Boro Const,E14000720,17,238,825,17,238,825,17,238,825,0.0%,0.4%,1.3%,0.0%,0.4%,1.3%,0.0%,0.4%,1.3%
Hackney South and Shoreditch Boro Const,E14000721,37,2534,2785,37,2534,2785,37,2533,2785,0.1%,3.6%,4.0%,0.1%,3.6%,4.0%,0.1%,3.6%,4.0%
Halesowen and Rowley Regis Boro Const,E14000722,284,297,297,284,297,297,284,297,296,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,0.6%,0.7%,0.6%
Halifax Boro Const,E14000723,725,1258,1264,725,1258,1264,723,1257,1263,1.3%,2.2%,2.2%,1.3%,2.2%,2.2%,1.3%,2.2%,2.2%
Haltemprice and Howden Co Const,E14000724,5085,13376,13708,5085,13378,13710,5104,13567,14284,9.3%,24.4%,25.0%,9.3%,24.4%,25.0%,9.3%,24.8%,26.1%
Halton Co Const,E14000725,331,708,975,727,1282,1282,730,1282,1282,0.7%,1.4%,2.0%,1.5%,2.6%,2.6%,1.5%,2.6%,2.6%
Hammersmith Boro Const,E14000726,33,33,41816,33,33,41816,33,33,41816,0.0%,0.0%,61.1%,0.0%,0.0%,61.1%,0.0%,0.0%,61.1%
Hampstead and Kilburn Boro Const,E14000727,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Harborough Co Const,E14000728,525,580,580,528,583,583,534,594,595,1.0%,1.1%,1.1%,1.0%,1.1%,1.1%,1.0%,1.1%,1.1%
Harlow Co Const,E14000729,1210,2519,2643,1209,2517,2641,1211,2549,2641,2.0%,4.2%,4.4%,2.0%,4.1%,4.4%,2.0%,4.2%,4.4%
Harrogate and Knaresborough Co Const,E14000730,713,1121,1236,713,1121,1236,714,1121,1236,1.2%,1.9%,2.1%,1.2%,1.9%,2.1%,1.2%,1.9%,2.1%
Harrow East Boro Const,E14000731,851,1345,1484,526,852,1438,523,852,1438,2.1%,3.3%,3.6%,1.3%,2.1%,3.5%,1.3%,2.1%,3.5%
Harrow West Boro Const,E14000732,569,790,790,568,757,757,602,1051,1051,1.3%,1.8%,1.8%,1.3%,1.7%,1.7%,1.4%,2.4%,2.4%
Hartlepool Boro Const,E14000733,1001,1780,1799,1001,1780,1799,1001,1780,1799,2.0%,3.5%,3.5%,2.0%,3.5%,3.5%,2.0%,3.5%,3.5%
Harwich and North Essex Co Const,E14000734,1242,5221,6135,1288,5354,6395,1313,5231,6053,2.1%,8.8%,10.3%,2.2%,9.0%,10.7%,2.2%,8.8%,10.2%
Hastings and Rye Co Const,E14000735,1451,3276,6714,1451,3276,6714,1451,3283,6712,2.2%,5.0%,10.2%,2.2%,5.0%,10.2%,2.2%,5.0%,10.2%
Havant Boro Const,E14000736,1835,3275,3291,1878,3799,3879,1996,3950,4030,3.8%,6.7%,6.8%,3.9%,7.8%,8.0%,4.1%,8.1%,8.3%
Hayes and Harlington Boro Const,E14000737,433,2220,2314,433,2220,2314,405,2190,2314,0.9%,4.4%,4.6%,0.9%,4.4%,4.6%,0.8%,4.4%,4.6%
Hazel Grove Co Const,E14000738,446,643,794,485,664,785,486,665,786,1.1%,1.6%,1.9%,1.2%,1.6%,1.9%,1.2%,1.6%,1.9%
